id,shapeID,shapeGroup,shapeName,intersection_ratio,even_split_ratio,intersection_ratio_commitment_value,even_split_ratio_commitment_value,centroid_longitude,centroid_latitude
62656,37992800B83627159640807,KHM,Phnom Penh,1.0,1.0,,,104.86483422636606,11.561507597941345
62659,37992800B83627159640807,KHM,Phnom Penh,1.0,1.0,696610.06,696610.06,104.86483422636606,11.561507597941345
62676,37992800B83627159640807,KHM,Phnom Penh,1.0,1.0,1799264.38,1799264.38,104.86483422636606,11.561507597941345
62698,37992800B83627159640807,KHM,Phnom Penh,0.08,0.08,1769396.11,2204959.754,104.86483422636606,11.561507597941345
62698,37992800B59838984331544,KHM,Kampong Thom,0.0,0.0,11715.69,2204959.754,105.04788430680355,12.824420451757593
62698,37992800B57023840568534,KHM,Kandal,0.38,0.38,8417350.56,2204959.754,105.0182459497186,11.423555503235097
62698,37992800B66153290508063,KHM,Kampong Chhnang,0.0,0.0,5468.32,2204959.754,104.55842050621244,12.168579337675359
62698,37992800B62393256715912,KHM,Kampong Cham,0.54,0.54,11807830.62,2204959.754,105.27248930685768,12.126383394917431
62698,37992800B42158555562772,KHM,Prey Veng,0.0,0.0,23365.58,2204959.754,105.42413097422452,11.395998652685332
62698,37992800B90014860566901,KHM,Tbong Khmum,0.0,0.0,2781.88,2204959.754,105.89091787465854,11.933887364041516
62698,37992800B77204168518017,KHM,Takeo,0.0,0.0,4766.86,2204959.754,104.81641679047027,10.940266063636825
62698,37992800B46036584412355,KHM,Kampong Speu,0.0,0.0,3314.75,2204959.754,104.29259044093132,11.536152424815365
62698,63759600B46141220358660,VNM,An Giang,0.0,0.0,2965.73,2204959.754,105.19034833286756,10.526302159129063
62705,37992800B83627159640807,KHM,Phnom Penh,1.0,1.0,,,104.86483422636606,11.561507597941345
62707,37992800B83627159640807,KHM,Phnom Penh,1.0,1.0,,,104.86483422636606,11.561507597941345
62711,37992800B83627159640807,KHM,Phnom Penh,1.0,1.0,,,104.86483422636606,11.561507597941345
62712,37992800B83627159640807,KHM,Phnom Penh,1.0,1.0,,,104.86483422636606,11.561507597941345
